Year,Abiotic_Depletion_per_kWh
2019,4.8600000000000005e-08
2020,4.8600000000000005e-08
2021,4.8600000000000005e-08
2022,4.8600000000000005e-08
2023,4.8600000000000005e-08
2024,4.8600000000000005e-08
2025,4.8600000000000005e-08
2026,4.8600000000000005e-08
2027,4.8600000000000005e-08
2028,4.8600000000000005e-08
2029,4.8600000000000005e-08
2030,4.8600000000000005e-08
2031,4.8600000000000005e-08
2032,4.8600000000000005e-08
2033,4.8600000000000005e-08
2034,4.8600000000000005e-08
2035,4.8600000000000005e-08
